,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type),cost_category
Jalsa,Yes,Yes,4.1,775,800,Buffet,High
Spice Elephant,Yes,No,4.1,787,800,Buffet,High
San Churro Cafe,Yes,No,3.8,918,800,Buffet,High
Addhuri Udupi Bhojana,No,No,3.7,88,300,Buffet,Medium
Grand Village,No,No,3.8,166,600,Buffet,Medium
Timepass Dinner,Yes,No,3.8,286,600,Buffet,Medium
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,800,Buffet,High
Onesta,Yes,Yes,4.6,2556,600,Cafes,Medium
Penthouse Cafe,Yes,No,4,324,700,other,High
Smacznego,Yes,No,4.2,504,550,Cafes,Medium
Village Café,Yes,No,4.1,402,500,Cafes,Medium
Cafe Shuffle,Yes,Yes,4.2,150,600,Cafes,Medium
The Coffee Shack,Yes,Yes,4.2,164,500,Cafes,Medium
Caf-Eleven,No,No,4,424,450,Cafes,Medium
San Churro Cafe,Yes,No,3.8,918,800,Cafes,High
Cafe Vivacity,Yes,No,3.8,90,650,Cafes,Medium
Catch-up-ino,Yes,No,3.9,133,800,Cafes,High
Kirthi's Biryani,Yes,No,3.8,144,700,Cafes,High
T3H Cafe,No,No,3.9,93,300,Cafes,Medium
360 Atoms Restaurant And Cafe,Yes,No,3.1,13,400,Cafes,Medium
The Vintage Cafe,Yes,No,3,62,400,Cafes,Medium
Woodee Pizza,Yes,No,3.7,180,500,Cafes,Medium
Cafe Coffee Day,No,No,3.6,28,900,Cafes,High
My Tea House,Yes,No,3.6,62,600,Cafes,Medium
Hide Out Cafe,No,No,3.7,31,300,Cafes,Medium
CAFE NOVA,No,No,3.2,11,600,Cafes,Medium
Coffee Tindi,Yes,No,3.8,75,200,Cafes,Low
Sea Green Cafe,No,No,3.3,4,500,Cafes,Medium
Cuppa,No,No,3.3,23,550,Cafes,Medium
Srinathji's Cafe,No,No,3.8,148,550,Cafes,Medium
Redberrys,Yes,No,4,219,600,Cafes,Medium
Foodiction,Yes,No,2.8,506,500,other,Medium
Sweet Truth,Yes,No,3.9,35,500,Dining,Medium
Ovenstory Pizza,Yes,No,3.9,172,750,Dining,High
Faasos,Yes,No,4.2,415,500,other,Medium
Behrouz Biryani,Yes,No,3.9,230,650,Dining,Medium
Fast And Fresh,Yes,No,2.8,91,400,Dining,Medium
Szechuan Dragon,Yes,No,4.2,1647,600,Dining,Medium
Empire Restaurant,Yes,No,4.4,4884,750,other,High
Maruthi Davangere Benne Dosa,Yes,No,4,17,150,Dining,Low
Chaatimes,Yes,No,3.8,133,200,Dining,Low
Havyaka Mess,No,No,3.9,28,300,Dining,Medium
McDonald's,Yes,No,3.9,286,500,Dining,Medium
Domino's Pizza,Yes,No,3.9,540,800,Dining,High
Onesta,Yes,Yes,4.6,2556,600,other,Medium
Hotboxit,No,No,3.8,36,400,Dining,Medium
Kitchen Garden,Yes,No,3.6,244,300,Dining,Medium
Recipe,Yes,No,4,804,450,Dining,Medium
Beijing Bites,Yes,No,3.7,679,850,Dining,High
Tasty Bytes,Yes,No,3.1,245,300,Dining,Medium
Petoo,No,No,3.7,21,450,Dining,Medium
Shree Cool Point,Yes,No,4.1,28,150,Dining,Low
Corner House Ice Cream,No,No,4.3,345,400,Dining,Medium
Biryanis And More,Yes,No,4,618,750,Dining,High
Roving Feast,No,No,4,1047,450,Dining,Medium
FreshMenu,Yes,No,3.9,627,450,Dining,Medium
Banashankari Donne Biriyani,Yes,No,3.8,104,300,Dining,Medium
Wamama,Yes,Yes,4.2,354,800,other,High
Five Star Chicken,No,No,3.6,55,200,Dining,Low
XO Belgian Waffle,Yes,No,3.7,17,400,Dining,Medium
Peppy Peppers,No,No,4.2,244,800,other,High
Goa 0 Km,Yes,Yes,3.6,163,800,Dining,High
Chinese Kitchen,Yes,No,3.8,58,150,Dining,Low
Jeet Restaurant,No,Yes,4,808,850,Dining,High
Cake of the Day,No,No,3.7,78,150,Dining,Low
Kabab Magic,Yes,No,4.1,1720,400,Dining,Medium
Namma Brahmin's Idli,Yes,No,3.6,34,100,Dining,Low
Gustoes Beer House,No,No,4.1,868,700,Dining,High
Sugar Rush,No,No,3.8,39,300,Dining,Medium
Burger King,Yes,No,3.2,71,600,Dining,Medium
The Good Bowl,Yes,No,3.6,6,500,Dining,Medium
The Biryani Cafe,No,No,4.1,520,300,Dining,Medium
Spicy Tandoor,No,No,4.1,0,150,Dining,Low
LSD Cafe,No,No,2.9,84,700,other,High
Rolls On Wheels,No,No,3.6,299,300,Dining,Medium
Om Sri Vinayaka Chats,No,No,3.6,0,500,Dining,Medium
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,150,Dining,Low
Devanna Dum Biriyani Centre,Yes,No,3.6,28,300,Dining,Medium
Kolbeh,No,No,3.7,22,500,Dining,Medium
Upahar Sagar,No,No,3.8,39,350,Dining,Medium
Kadalu Sea Food Restaurant,Yes,No,3.8,153,500,Dining,Medium
Frozen Bottle,Yes,No,4.2,146,400,Dining,Medium
Parimala Sweets,No,No,3.5,14,200,Dining,Low
Vaishali Deluxe,No,No,3.8,42,700,Dining,High
Chill Out,No,No,3.8,0,100,Dining,Low
The Big O Bakes,No,No,4,66,300,Dining,Medium
Meghana Foods,Yes,No,4.4,4401,600,Dining,Medium
Krishna Sagar,No,No,3.5,31,200,Dining,Low
Dessert Rose,No,No,3.5,7,500,Dining,Medium
Chickpet Donne Biryani House,No,No,3.7,21,250,Dining,Low
Me And My Cake,No,No,3.7,0,500,Dining,Medium
Sunsadm,No,No,3.7,0,400,Dining,Medium
Annapooraneshwari Mess,No,No,3.7,0,200,Dining,Low
Thanco's Natural Ice Creams,No,No,3.2,9,300,Dining,Medium
Nandhini Deluxe,No,No,2.6,283,600,Dining,Medium
Vi Ra's Bar and Restaurant,No,No,3.3,62,800,Dining,High
Kaggis,No,No,3.8,64,250,Dining,Low
Ayda Persian Kitchen,No,No,3.7,39,950,Dining,High
Chatar Patar,No,No,3.7,65,300,Dining,Medium
Polar Bear,Yes,No,3.8,71,400,Dining,Medium
Kidambi's Kitchen,No,No,3.5,52,300,Dining,Medium
Mane Thindi,No,No,3.7,130,200,Dining,Low
Kotian Karavali Restaurant,No,No,3.5,10,300,Dining,Medium
Floured-Baked With Love,No,No,3.8,45,400,Dining,Medium
CAFE NOVA,No,No,3.2,11,600,Dining,Medium
Cakes & Slices,No,No,3.5,13,300,Dining,Medium
Spice 9,No,No,3.4,8,300,Dining,Medium
Coffee Shopee,No,No,3.4,0,250,Dining,Low
Naveen Kabab & Biriyani Mane,No,No,3.2,9,300,Dining,Medium
Katriguppe Donne Biryani,No,No,3.2,4,300,Dining,Medium
Hari Super Sandwich,No,No,3.2,0,200,Dining,Low
Atithi Point Ande Ka Funda,No,No,3.1,29,150,Dining,Low
Just Bake,No,No,3.4,8,400,Dining,Medium
Dharwad Line Bazaar Mishra Pedha,No,No,3.4,0,150,Dining,Low
Cake Bite,No,No,3.4,0,300,Dining,Medium
Aarush's Food Plaza,No,No,3.4,0,200,Dining,Low
Wood Stove,No,No,3.4,0,150,Dining,Low
Kulfi & More,No,No,3.4,0,150,Dining,Low
Kannadigas Karavali,No,No,3.4,0,250,Dining,Low
K27 - The Pub,No,No,3.1,30,900,Dining,High
Bengaluru Coffee House,Yes,No,4.1,201,300,Dining,Medium
New Mangalore Lunch Home,No,No,3.3,7,200,Dining,Low
Coffee Bytes,No,No,3.1,6,100,Dining,Low
Parjanya Chat Zone,No,No,3.3,17,200,Dining,Low
Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,200,Dining,Low
Soms Kitchen & Bakes,No,No,2.9,0,400,Dining,Medium
Banashankari Nati Style,No,No,2.9,0,350,Dining,Medium
Ruchi Maayaka,No,No,3.3,8,100,Dining,Low
Mohitesh Hut Roll,No,No,3.3,0,150,Dining,Low
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4,0,150,Dining,Low
Roll Magic Fast Food,No,No,3.4,0,200,Dining,Low
Foodlieious Multi Cuisine,No,No,3.4,0,100,Dining,Low
Thanishka Nati And Karavali Style,No,No,3.1,0,400,Dining,Medium
Swathi Cool Point,No,No,4.1,0,200,Dining,Low
Kaumudis Juoice,No,No,3.3,0,150,Dining,Low
Amma - Manae,No,No,3.1,0,400,Dining,Medium
Sri Sai Tiffannies,No,No,3.3,0,150,Dining,Low
Hotel Andhra Speices,No,No,2.9,0,250,Dining,Low
Sri Murari Family Restaurant,No,No,2.9,0,250,Dining,Low
Aramane Donne Biriyani,No,No,2.9,0,150,Dining,Low
Darkolates,No,No,3.3,0,200,Dining,Low
Swaada Healthy Kitchen,No,No,3.3,0,350,Dining,Medium
Gawdaru Mane Beriyani,No,No,3.3,0,300,Dining,Medium
Melting Melodies,No,No,3.3,0,100,Dining,Low
New Indraprasta,No,No,3.3,0,150,Dining,Low
Anna Kuteera,Yes,No,4,771,450,Dining,Medium
Darbar,No,No,3,98,800,Dining,High
Vijayalakshmi,Yes,No,3.9,47,200,Dining,Low
